X;Temperature_Explicit;Temperature_Implicit;Temperature_CN
0,000000;26,969688;26,969688;27,014080
0,000488;26,929933;26,929933;26,974334
0,000976;26,890325;26,890325;26,934729
0,001464;26,850861;26,850861;26,895267
0,001952;26,811540;26,811540;26,855946
0,002440;26,772362;26,772362;26,816767
0,002928;26,733326;26,733326;26,777730
0,003416;26,694434;26,694434;26,738835
0,003904;26,655684;26,655684;26,700082
0,004392;26,617077;26,617077;26,661471
0,004880;26,578613;26,578613;26,623001
0,005368;26,540292;26,540292;26,584674
0,005857;26,502114;26,502114;26,546488
0,006345;26,464078;26,464078;26,508445
0,006833;26,426186;26,426186;26,470543
0,007321;26,388436;26,388436;26,432783
0,007809;26,350829;26,350829;26,395165
0,008297;26,313365;26,313365;26,357689
0,008785;26,276044;26,276044;26,320355
0,009273;26,238865;26,238865;26,283163
0,009761;26,201830;26,201830;26,246112
0,010249;26,164937;26,164937;26,209203
0,010737;26,128186;26,128186;26,172436
0,011225;26,091579;26,091579;26,135811
0,011713;26,055114;26,055114;26,099328
0,012201;26,018791;26,018791;26,062986
0,012689;25,982612;25,982612;26,026785
0,013177;25,946574;25,946574;25,990726
0,013665;25,910679;25,910679;25,954809
0,014153;25,874927;25,874927;25,919033
0,014641;25,839316;25,839316;25,883399
0,015129;25,803848;25,803848;25,847906
0,015617;25,768523;25,768523;25,812554
0,016105;25,733339;25,733339;25,777343
0,016593;25,698298;25,698298;25,742274
0,017082;25,663398;25,663398;25,707346
0,017570;25,628641;25,628641;25,672558
0,018058;25,594025;25,594025;25,637912
0,018546;25,559551;25,559551;25,603406
0,019034;25,525218;25,525218;25,569041
0,019522;25,491028;25,491028;25,534817
0,020010;25,456979;25,456979;25,500734
0,020498;25,423071;25,423071;25,466791
0,020986;25,389304;25,389304;25,432988
0,021474;25,355679;25,355679;25,399326
0,021962;25,322195;25,322195;25,365803
0,022450;25,288852;25,288852;25,332421
0,022938;25,255649;25,255649;25,299179
0,023426;25,222588;25,222588;25,266077
0,023914;25,189667;25,189667;25,233115
0,024402;25,156887;25,156887;25,200292
0,024890;25,124247;25,124247;25,167609
0,025378;25,091747;25,091747;25,135065
0,025866;25,059388;25,059388;25,102661
0,026354;25,027168;25,027168;25,070395
0,026842;24,995089;24,995089;25,038269
0,027330;24,963149;24,963149;25,006282
0,027818;24,931349;24,931349;24,974433
0,028306;24,899688;24,899688;24,942723
0,028795;24,868167;24,868167;24,911152
0,029283;24,836785;24,836785;24,879719
0,029771;24,805542;24,805542;24,848424
0,030259;24,774438;24,774438;24,817267
0,030747;24,743473;24,743473;24,786248
0,031235;24,712646;24,712646;24,755366
0,031723;24,681957;24,681957;24,724623
0,032211;24,651407;24,651407;24,694016
0,032699;24,620995;24,620995;24,663547
0,033187;24,590721;24,590721;24,633215
0,033675;24,560585;24,560585;24,603020
0,034163;24,530586;24,530586;24,572962
0,034651;24,500724;24,500724;24,543040
0,035139;24,471000;24,471000;24,513255
0,035627;24,441413;24,441413;24,483605
0,036115;24,411962;24,411962;24,454092
0,036603;24,382648;24,382648;24,424715
0,037091;24,353471;24,353471;24,395473
0,037579;24,324430;24,324430;24,366367
0,038067;24,295525;24,295525;24,337396
0,038555;24,266755;24,266755;24,308560
0,039043;24,238122;24,238122;24,279859
0,039531;24,209623;24,209623;24,251292
0,040020;24,181260;24,181260;24,222860
0,040508;24,153032;24,153032;24,194562
0,040996;24,124939;24,124939;24,166399
0,041484;24,096981;24,096981;24,138369
0,041972;24,069156;24,069156;24,110472
0,042460;24,041466;24,041466;24,082709
0,042948;24,013910;24,013910;24,055080
0,043436;23,986488;23,986488;24,027583
0,043924;23,959198;23,959198;24,000219
0,044412;23,932043;23,932043;23,972987
0,044900;23,905020;23,905020;23,945888
0,045388;23,878130;23,878130;23,918920
0,045876;23,851372;23,851372;23,892085
0,046364;23,824747;23,824747;23,865381
0,046852;23,798253;23,798253;23,838808
0,047340;23,771892;23,771892;23,812366
0,047828;23,745662;23,745662;23,786055
0,048316;23,719563;23,719563;23,759875
0,048804;23,693595;23,693595;23,733825
0,049292;23,667758;23,667758;23,707905
0,049780;23,642052;23,642052;23,682115
0,050268;23,616476;23,616476;23,656455
0,050756;23,591029;23,591029;23,630924
0,051245;23,565713;23,565713;23,605522
0,051733;23,540526;23,540526;23,580248
0,052221;23,515468;23,515468;23,555103
0,052709;23,490539;23,490539;23,530087
0,053197;23,465738;23,465738;23,505198
0,053685;23,441066;23,441066;23,480437
0,054173;23,416522;23,416522;23,455804
0,054661;23,392106;23,392106;23,431298
0,055149;23,367817;23,367817;23,406918
0,055637;23,343655;23,343655;23,382665
0,056125;23,319621;23,319621;23,358539
0,056613;23,295713;23,295713;23,334538
0,057101;23,271931;23,271931;23,310663
0,057589;23,248275;23,248275;23,286914
0,058077;23,224746;23,224746;23,263290
0,058565;23,201341;23,201341;23,239790
0,059053;23,178062;23,178062;23,216416
0,059541;23,154907;23,154907;23,193165
0,060029;23,131878;23,131878;23,170039
0,060517;23,108972;23,108972;23,147036
0,061005;23,086190;23,086190;23,124156
0,061493;23,063532;23,063532;23,101400
0,061981;23,040997;23,040997;23,078766
0,062469;23,018586;23,018586;23,056255
0,062958;22,996296;22,996296;23,033866
0,063446;22,974130;22,974130;23,011599
0,063934;22,952085;22,952085;22,989453
0,064422;22,930162;22,930162;22,967429
0,064910;22,908360;22,908360;22,945525
0,065398;22,886680;22,886680;22,923742
0,065886;22,865120;22,865120;22,902079
0,066374;22,843680;22,843680;22,880536
0,066862;22,822361;22,822361;22,859113
0,067350;22,801161;22,801161;22,837809
0,067838;22,780081;22,780081;22,816623
0,068326;22,759120;22,759120;22,795557
0,068814;22,738278;22,738278;22,774609
